City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kuching,MY,77.0,few clouds,1.55,110.33,Hilton Kuching
9,Tiarei,PF,82.4,few clouds,-17.53,-149.33,Le Rocher de Tahiti
12,Teknaf,BD,78.55,broken clouds,20.86,92.31,Magnum Engineering & Construction
18,Avarua,CK,77.0,few clouds,-21.21,-159.78,Paradise Inn
21,Gotsu,JP,84.2,few clouds,35.0,132.22,Super Hotel Gotsu Ekimae
22,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
24,San Patricio,MX,84.2,broken clouds,19.22,-104.7,Hotel Cabo Blanco
32,Key West,US,89.6,clear sky,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
33,Gunjur,GM,78.8,few clouds,13.2,-16.73,Kuba Lodge
36,Erie,US,71.6,overcast clouds,42.77,-78.67,Roycroft Inn
37,Bogalusa,US,80.6,clear sky,30.79,-89.85,Traveler's Rest Motel
38,Udupi,IN,75.2,mist,13.35,74.75,Hotel Sri Krishna Residency
39,Kapaa,US,84.2,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
41,Kaseda,JP,84.0,few clouds,31.42,130.32,Sun Stay Kaseda
42,Acapulco,MX,84.2,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
44,Maymyo,MM,82.4,light rain,22.03,96.47,Tiger Hotel
45,San Cristobal,VE,82.4,scattered clouds,7.77,-72.22,Pirineos
46,Segamat,MY,77.0,few clouds,2.51,102.82,VIP HOTEL
48,Amberley,US,79.0,clear sky,39.2,-84.43,"Motel 6 Cincinnati, OH - Central - Norwood"
52,Hilo,US,84.2,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
56,Cockburn Town,TC,82.96,clear sky,21.46,-71.14,Osprey Beach Hotel
59,Belmonte,BR,73.4,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
60,Yendi,GH,72.9,broken clouds,9.44,-0.01,Eyarro Lodge
62,Dingle,PH,81.1,overcast clouds,11.0,122.67,Camp Pasica
66,Buchanan,LR,76.33,overcast clouds,5.88,-10.05,Kamaneahn Hotel Inc
67,Ponta Do Sol,PT,75.2,few clouds,32.67,-17.1,Hotel do Campo
69,Urucui,BR,79.12,scattered clouds,-7.23,-44.56,Formula Flat Uruçui
70,Atuona,PF,78.06,light rain,-9.8,-139.03,Villa Enata
72,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
74,Lucea,JM,86.0,scattered clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
75,Jalu,LY,78.17,clear sky,29.03,21.55,Jalu Hotel
76,Lexington,US,75.2,mist,37.99,-84.48,DoubleTree Suites by Hilton Hotel Lexington
78,Luganville,VU,76.06,heavy intensity rain,-15.53,167.17,The Espiritu Hotel
81,Arraial Do Cabo,BR,71.6,clear sky,-22.97,-42.03,Pousada Porto Praia
86,Ribeira Grande,PT,74.46,few clouds,38.52,-28.7,Quinta da Meia Eira
91,Nola,IT,75.99,clear sky,40.92,14.53,Pamaran Hotel
92,Pauini,BR,83.7,broken clouds,-7.71,-66.98,Casa do Kiwliks
94,Riyadh,SA,84.2,overcast clouds,24.69,46.72,InterContinental Riyadh
95,Safaga,EG,86.0,clear sky,26.73,33.94,Lamar Resort Abu Soma
99,Inhambane,MZ,71.01,clear sky,-23.86,35.38,Oceano
100,Labuhan,ID,78.1,clear sky,-6.88,112.21,bador sepret
104,Bambous Virieux,MU,71.6,scattered clouds,-20.34,57.76,Casa Tia Villa
109,Hobyo,SO,76.46,overcast clouds,5.35,48.53,Osmani Hotel
110,Kavaratti,IN,81.7,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
112,Katsuura,JP,89.6,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
114,Camacha,PT,73.4,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
