City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2020-08-28 20:38:49,-46.6,168.33,45.0,72,83,11.01
1,Punta Arenas,CL,2020-08-28 20:38:49,-53.15,-70.92,32.0,90,40,38.03
2,Grande Prairie,CA,2020-08-28 20:38:49,55.17,-118.8,60.8,63,75,5.48
3,New Norfolk,AU,2020-08-28 20:38:49,-42.78,147.06,53.01,64,100,3.0
4,Albany,US,2020-08-28 20:34:30,42.6,-73.97,75.0,59,53,8.66
5,Airai,TL,2020-08-28 20:38:50,-8.93,125.41,56.35,91,49,4.07
6,Roros,NO,2020-08-28 20:33:53,62.57,11.38,46.4,100,60,3.36
7,Atuona,PF,2020-08-28 20:38:50,-9.8,-139.03,77.61,81,72,23.47
8,Namibe,AO,2020-08-28 20:38:50,-15.2,12.15,59.76,82,100,9.01
9,Rikitea,PF,2020-08-28 20:38:50,-23.12,-134.97,68.47,67,0,4.85
10,Bengkulu,ID,2020-08-28 20:38:50,-3.8,102.27,75.51,85,99,6.06
11,Longyearbyen,SJ,2020-08-28 20:36:52,78.22,15.64,32.0,92,90,10.29
12,Penhold,CA,2020-08-28 20:38:50,52.13,-113.87,72.0,43,75,9.17
13,Yellowknife,CA,2020-08-28 20:36:45,62.46,-114.35,53.6,76,75,5.82
14,Birao,CF,2020-08-28 20:38:51,10.28,22.79,71.47,91,100,4.16
15,Fort Nelson,CA,2020-08-28 20:36:16,58.81,-122.7,53.6,87,90,2.24
16,Ribeira Grande,PT,2020-08-28 20:36:51,38.52,-28.7,77.0,88,75,12.75
17,Lavrentiya,RU,2020-08-28 20:38:51,65.58,-171.0,48.58,78,90,2.08
18,Paamiut,GL,2020-08-28 20:38:51,61.99,-49.67,48.79,92,100,9.73
19,Pedernales,DO,2020-08-28 20:38:51,18.04,-71.74,89.6,70,20,17.22
20,Isangel,VU,2020-08-28 20:38:51,-19.55,169.27,75.2,88,75,3.36
21,Aswan,EG,2020-08-28 20:38:52,24.09,32.91,84.83,23,0,8.25
22,Castro,BR,2020-08-28 20:38:52,-24.79,-50.01,64.74,69,0,2.89
23,San Cristobal,VE,2020-08-28 20:38:52,7.77,-72.22,89.6,59,40,12.75
24,Jamestown,US,2020-08-28 20:38:44,42.1,-79.24,78.01,78,75,10.29
25,Mar Del Plata,AR,2020-08-28 20:38:52,-38.0,-57.56,57.2,67,94,6.93
26,Vaini,TO,2020-08-28 20:36:39,-21.2,-175.2,75.2,83,75,8.05
27,Barrow,US,2020-08-28 20:38:52,71.29,-156.79,37.4,74,90,14.99
28,Hermanus,ZA,2020-08-28 20:38:52,-34.42,19.23,52.0,73,37,4.0
29,Mataura,NZ,2020-08-28 20:38:53,-46.19,168.86,45.0,72,23,11.01
30,Kununurra,AU,2020-08-28 20:38:53,-15.77,128.73,60.8,27,13,10.63
31,Half Moon Bay,US,2020-08-28 20:38:53,37.46,-122.43,75.0,82,40,8.05
32,Cabo San Lucas,MX,2020-08-28 20:38:35,22.89,-109.91,84.0,88,90,6.93
33,Skibotn,NO,2020-08-28 20:38:53,69.39,20.27,46.4,87,75,12.75
34,Busselton,AU,2020-08-28 20:38:53,-33.65,115.33,46.99,71,21,13.44
35,Surin,TH,2020-08-28 20:38:53,14.88,103.49,74.82,92,97,5.66
36,Inirida,CO,2020-08-28 20:38:53,3.87,-67.92,85.44,72,76,2.93
37,Qaanaaq,GL,2020-08-28 20:38:54,77.48,-69.36,40.17,87,100,6.02
38,Hithadhoo,MV,2020-08-28 20:36:40,-0.6,73.08,81.75,65,100,11.88
39,Baruun-Urt,MN,2020-08-28 20:38:54,46.68,113.28,54.14,96,50,7.11
40,Coahuayana,MX,2020-08-28 20:38:54,18.73,-103.68,71.6,83,90,5.08
